2022-05-04 17:18:58.366 ERROR [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 400, ERROR: Missing required request parameter type
2022-05-04 18:34:16.346  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 4
2022-05-04 18:34:18.050  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:34:20.986  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 85
2022-05-04 18:50:33.417  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:50:41.960  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:50:44.052  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 86
2022-05-04 18:50:49.390  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 5
2022-05-04 18:51:19.149  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:51:31.018  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 4
2022-05-04 18:51:38.358  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 81
2022-05-04 18:55:27.001  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 101
2022-05-04 18:55:29.379  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 85
2022-05-04 18:55:34.888  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 83
2022-05-04 18:55:39.537  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 81
2022-05-04 18:55:46.001  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:55:51.010  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 83
2022-05-04 18:57:32.098  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
2022-05-04 18:58:14.947  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 180
