2022-05-03 11:32:56.571  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 324
2022-05-03 11:32:56.699  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 121
2022-05-03 11:32:58.591  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/stop, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 83
2022-05-03 11:34:21.955  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 160
2022-05-03 11:34:22.087  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 116
2022-05-03 11:34:25.014  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 314
2022-05-03 11:34:25.155  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 131
2022-05-03 11:34:40.373  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 315
2022-05-03 11:34:40.816  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 122
2022-05-03 11:35:04.837  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 158
2022-05-03 11:35:04.971  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 120
2022-05-03 11:35:07.429  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 313
2022-05-03 11:35:07.563  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 126
2022-05-03 11:35:25.015  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 158
2022-05-03 11:35:25.143  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 115
2022-05-03 11:35:27.581  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 320
2022-05-03 11:35:27.709  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 120
2022-05-03 11:35:50.762  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 156
2022-05-03 11:35:50.891  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 117
2022-05-03 11:35:53.143  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 312
2022-05-03 11:35:53.282  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 118
2022-05-03 11:37:10.991  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 164
2022-05-03 11:37:11.126  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 120
2022-05-03 11:37:13.358  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 326
2022-05-03 11:37:13.543  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 176
